319,11495073,OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
274,11581339,MONEY PLUS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORT
95,11703662,Travelex Banco de Câmbio S.A.
94,11758741,Banco Finaxis S.A.
276,11970623,BANCO SENFF S.A.
447,12392983,"MIRAE ASSET WEALTH MANAGEMENT (BRAZIL) CORRETORA DE CÂMBIO, TÍTULOS E VALORES MO"
92,12865507,"BRK S.A. Crédito, Financiamento e Investimento                                  "
47,13009717,Banco do Estado de Sergipe S.A.
144,13059145,BEXS BANCO DE CÂMBIO S/A
332,13140088,Acesso Soluções de Pagamento S.A.
450,13203354,FITBANK PAGAMENTOS ELETRONICOS S.A.
126,13220493,BR Partners Banco de Investimento S.A.
325,13293225,Órama Distribuidora de Títulos e Valores Mobiliários S.A.
301,13370835,BPP Instituição de Pagamento S.A.
173,13486793,BRL Trust Distribuidora de Títulos e Valores Mobiliários S.A.
331,13673855,Fram Capital Distribuidora de Títulos e Valores Mobiliários S.A.
119,13720915,Banco Western Union do Brasil S.A.
396,13884775,HUB PAGAMENTOS S.A
309,14190547,CAMBIONET CORRETORA DE CÂMBIO LTDA.
254,14388334,PARANÁ BANCO S.A.
268,14511781,BARI COMPANHIA HIPOTECÁRIA
401,15111975,IUGU INSTITUIÇÃO DE PAGAMENTO S.A.
107,15114366,Banco Bocom BBM S.A.
412,15173776,BANCO CAPITAL S.A.
124,15357060,Banco Woori Bank do Brasil S.A.
149,15581638,Facta Financeira S.A. - Crédito Financiamento e Investimento
197,16501555,Stone Pagamentos S.A.
439,16695922,ID CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
313,16927221,AMAZÔNIA CORRETORA DE CÂMBIO LTDA.
142,16944141,Broker Brasil Corretora de Câmbio Ltda.
389,17184037,Banco Mercantil do Brasil S.A.
184,17298092,Banco Itaú BBA S.A.
634,17351180,BANCO TRIANGULO S.A.
545,17352220,SENSO CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A
132,17453575,ICBC do Brasil Banco Múltiplo S.A.
298,17772370,Vip's Corretora de Câmbio Ltda.
377,17826860,BMS SOCIEDADE DE CRÉDITO DIRETO S.A.
321,18188384,CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LT
260,18236120,NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO
129,18520834,UBS Brasil Banco de Investimento S.A.
128,19307785,MS Bank S.A. Banco de Câmbio
416,19324634,LAMARA SOCIEDADE DE CRÉDITO DIRETO S.A.
461,19540550,ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.
194,20155248,PARMETAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
383,21018182,BOLETOBANCÁRIO.COM TECNOLOGIA DE PAGAMENTOS LTDA.
324,21332862,CARTOS SOCIEDADE DE CRÉDITO DIRETO S.A.
310,22610500,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
380,22896431,PICPAY INSTITUIçãO DE PAGAMENTO S.A.
163,23522214,Commerzbank Brasil S.A. - Banco Múltiplo
280,23862762,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO                      "
146,24074692,GUITTA CORRETORA DE CAMBIO LTDA.
343,24537861,FFA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.
279,26563270,COOPERATIVA DE CREDITO RURAL DE PRIMAVERA DO LESTE
335,27098060,Banco Digio S.A.
349,27214112,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO                                  "
427,27302181,COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO
